       Value   Percentile   TotalCount 1/(1-Percentile)
     1975.00     0.000000       493958         1.00
     1983.00     0.000000       494096         1.00
     1991.00     0.000000       494236         1.00
     1999.00     0.000000       494381         1.00
     2007.00     0.000000       494509         1.00
     2015.00     0.000000       494661         1.00
     2023.00     0.000000       494806         1.00
     2031.00     0.000000       494939         1.00
     2039.00     0.000000       495086         1.00
     2047.00     0.000000       495227         1.00
     2063.00     0.000000       495521         1.00
     2079.00     0.000000       495793         1.00
     2095.00     0.000000       496063         1.00
     2111.00     0.000000       496345         1.00
     2127.00     0.000000       496628         1.00
     2143.00     0.000000       496930         1.00
     2159.00     0.000000       497224         1.00
     2175.00     0.000000       497536         1.00
     2191.00     0.000000       497831         1.00
     2207.00     0.000000       498149         1.00
     2223.00     0.000000       498438         1.00
     2239.00     0.000000       498749         1.00
     2255.00     0.000000       499064         1.00
     2271.00     0.000000       499351         1.00
     2287.00     0.000000       499641         1.00
     2303.00     0.000000       499938         1.00
     2319.00     0.000000       500232         1.00
     2335.00     0.000000       500551         1.00
     2351.00     0.000000       500860         1.00
     2367.00     0.000000       501140         1.00
     2383.00     0.000000       501441         1.00
     2399.00     0.000000       501746         1.00
     2415.00     0.000000       502035         1.00
     2431.00     0.000000       502375         1.00
     2447.00     0.000000       502703         1.00
     2463.00     0.000000       503042         1.00
     2479.00     0.000000       503344         1.00
     2495.00     0.000000       503631         1.00
     2511.00     0.000000       503917         1.00
     2527.00     0.000000       504227         1.00
     2543.00     0.000000       504549         1.00
     2559.00     0.000000       504860         1.00
     2575.00     0.000000       505157         1.00
     2591.00     0.000000       505484         1.00
     2607.00     0.000000       505788         1.00
     2623.00     0.000000       506081         1.00
     2639.00     0.000000       506386         1.00
     2655.00     0.000000       506701         1.00
     2671.00     0.000000       507001         1.00
     2687.00     0.000000       507296         1.00
     2703.00     0.000000       507568         1.00
     2719.00     0.000000       507869         1.00
     2735.00     0.000000       508171         1.00
     2751.00     0.000000       508495         1.00
     2767.00     0.000000       508833         1.00
     2783.00     0.000000       509137         1.00
     2799.00     0.000000       509425         1.00
     2815.00     0.000000       509729         1.00
     2831.00     0.000000       510021         1.00
     2847.00     0.000000       510347         1.00
     2863.00     0.000000       510680         1.00
     2879.00     0.000000       510990         1.00
     2895.00     0.000000       511296         1.00
     2911.00     0.000000       511588         1.00
     2927.00     0.000000       511889         1.00
     2943.00     0.000000       512172         1.00
     2959.00     0.000000       512439         1.00
     2975.00     0.000000       512725         1.00
     2991.00     0.000000       512993         1.00
     3007.00     0.000000       513274         1.00
     3023.00     0.000000       513563         1.00
     3039.00     0.000000       513858         1.00
     3055.00     0.000000       514121         1.00
     3071.00     0.000000       514408         1.00
